course_name,course_url,course_level,is_winter,course_code,course_goals,course_description,credit_score,prerequisit_credits,course_professors,mandatory
Интернет технологии,https://www.finki.ukim.mk/subject/F23L2S110,2,False,F23L2S110,"Познавање на механизмите кај HTTP протоколот. Запознавање со платформи за развој на интернет апликации.
Креирање и развој на веб апликции. Креирање и користење на веб сервиси.",Архитектура на динамички веб апликации. Комуникација на веб. Вовед во Web Application Development. Вовед во ASP.NET. Основи на веб форми. Веб контроли. Мастер страници и теми. Управување со состојби. Навигација. Работа со бази на податоци. Работа со бази на податоци. Сигурност на веб апликација. СОА и веб сервиси. MVC,6.0,Објектно-ориентирано програмирање,проф. д-р Гоце Арменски ; ворн. проф. д-р Магдалена Костоска Ѓорчевска ; проф. д-р Вангел Ајановски,No
Компјутерска графика,https://www.finki.ukim.mk/subject/F23L2S114,2,False,F23L2S114,"Целта на предметот е запознавање на студентите со теориските основи и концепти на 2D и 3D компјутерска графика, геометриското моделирање, трансформациите, рендерирањето и генерирањето криви и површини со помош на сплајнови. Практичната имплементација на алгоритмите ќе се реализира со помош на OPEN GL. По завршување на курсот се очекува студентот да демонстрира познавање на теориските основи и концепти на 2Д и 3Д компјутерската графика, да користи OpenGL библиотека и графички софтверски пакети за практична реализација на проблеми од компјутерската графика.","Предавања:
	1. Вовед. Терминологија. Примена. Уреди. Софтвер.
	2. Графички примитиви. Координатни системи. Репрезентација на графички примитиви. Атрибути на примитивите.
	3. Графички примитиви. Имплементациски алгоритми.
	4. 2Д трансформации. Видови. Хомогени координати. Комбинирање на трансформации.
	5. Трансформации на поглед во 2Д. Проточен модел. Отсекување и алгоритми за отсекување.
	6. Сплајнови во 2Д. Репрезентација на криви. Терминологија. Кубични сплајнови. Hermite сплајн. Bezier криви. Геометриски алгоритам за исцртување на сплајнови.
	7. 3Д трансформации.
	8. 3Д поглед. 3Д проточен модел. Проекции. Отсекување во 3Д.
	9. Светлински модел.  Извори на светлина. Површински ефекти. Рефлексија. Транспарентност. Методи за рендерирање на полигони.
	10. Невидливи површини. Техники за рендерирање на видливите површини и отстранување на невидливите површини.
	11. Ray tracing.  Алгоритам за рендерирање со следење на зраци.
	12. Текстури. Дефиниција.  Видови текстури. Техники за лепење на текстури на полигони.",6.0,Објектно-ориентирано програмирање,доц. д-р Бобан Јоксимоски ; проф. д-р Сузана Лошковска ; проф. д-р Вангел Ајановски,No
Концепти на информатичко општество,https://www.finki.ukim.mk/subject/F23L2S119,2,False,F23L2S119,"Целта на курсот е да се запознаат студентите со теориите и пристапите кои ја анализираат улогата на информатичката технологија, медиумите и знаењето во модерното општество. По завршување на модулот студентите треба да бидат способни да:
1.	Систематски и критично дискутираат, евалуираат и ги анализираат главните теми, принципи, концепти и теории на информатичкото општество
2.	Применуваат различни концепти од информатичкото општество
3.	Покажат разбирање за важноста на информатичката технологја и знаењето во модерното општество","Развојот на информатичкото општество и основни концепти; Глобализацијата и информатичката технологија: развојот на информатичкото општество и влијанието на глобализацијата на дигиталниот свет; Победници и губитници во времео на информатичкото општество: анализа на теми на национално, локално и индивидуално ниво; Дигитален јаз. Информатичките технологии и дигиталните домови. Влијанието на мобилните телефони, WIFI, дигиталните технологии во начинот на живеење; Интернет и неговото значење во секојдневниот живот на луѓето; Концептуални рамки за анализа на различните влијанија на информатичките технологии; Компјутерски криминал; 	Паметни картички, дигитален индетитет; Компјутерска етика; Надгледувано општество и ИТ; 	ИТ и заканите за безбедност во модерните општества.",6.0,Вовед во компјутерски науки,проф. д-р Горан Велинов ; ворн. проф. д-р Владимир Здравески,No
Медиуми и комуникации,https://www.finki.ukim.mk/subject/F23L2S124,2,False,F23L2S124,"По завршувањето на предметот се очекува студентот да ги разбира основните
поими од комуникатологијата како наука, како и да има продлабочено знаење во примена на постоечките техники и
сознанија за подобрување за комуникацијата помеѓу чинителите на комуникацијата. Посебен осврт ќе биден даден на комуникацијата преку новите медиуми и начинот на кој новите медиуми влијаат во различни општествени сфери. Студентите ќе бидат запознаени со основните принципи за испитување на јавно мислење и користење на новите медиуми (со посебен фокус на социјалните мрежи) за градење и промовирање на бренд (личен или корпоративен).","Предавања:
	1. Воведно предавање; Запознавање со целите и содржините на предметот, начинот на кој ќе се изведувва наставата, типот и обемот на доманите работи, есеите и проектините задачи,
	2. Основни на теорија на комуникации; историски развој на комуникации; комуникации и медиуми; развој и подлеба на медиуми (традиционални, нови и ултра нови медиуми), влијание на технолошкиот развој врз медиумите и комуникациите,
	3. Комуникациски модели, Тро-нивовски комуникациски модел, Нарушувања на комуникацискиот модел поради влијанија на медиумите,
	4. Раскажување на приказни, Структура на приказна, Значењето на разкажување на приказни, влијанието на медиумите врз разкажувањето на приказни
	5. Јавен настап, Јавен настап во име на институција или компанија, основи на односи со јавност
	6. Социјални мрежи како медиум, ефект на вмреженост, влијателност наспроти популарност,
	7. Анализа на јавно мнение: Потреба, принципи и пристапи; Техники и алатки за анализа на јавното мислење, Користење на нови медиуми како алатки за анализа на јавното мислење (предности и недостатоци)
	8. Бренд и корпоративен идентитет и неговата поврзаност со претставување на брендот преку медиумите, Користење на социјалните мрежи како алатки за развој на брендот,
	9. Граѓански активизам, медиуми и социјални мрежи; Технолоки алатки за зголемување на импактот
	10. Витуелни заедници, типови и карактеристики, виртуелни светови, Основи на кибер култура
	11. Игри како медиуми; Од игри до гејмификација; Примена на гејмификација
	12. Феномени што произлегуваат од социјалните мрежи, технофилија, зависност од технологија, технофобија

Вежби:
	1. Утврдување на алатки за комуникација во текот на семестарот, дефинирање на критериуми за добро изработени анкети и есеи
	2. Практични вежби за илустрација на различни комуникациски техники
	3. Практични вежби за илустрација на комуникациските модели
	4. Практични примери за примена на раскажување на приказни
	5. Анализа на јавни настапи, студии на случај
	6. Практични вежби за илустрација на ефектите на социјалните мрежи, Студии на случај
	7. Анализа на студии на случај, дефинирање на хипотези, дефинирање на одбирок на испитаници, примена на алатки за статистичка анализа на резултатите
	8. Студии на случај
	9. Анализа на студии на случај
	10. Студии на случај
	11. Студии на случај
	12. Анализа на студии на случај (На пример, лажни вести)",6.0,Вовед во компјутерски науки,проф. д-р Владимир Трајковиќ,No
Теорија на информации со дигитални комуникации,https://www.finki.ukim.mk/subject/F23L2S164,2,False,F23L2S164,Студентите ќе бидат запознаени со квантитативната теорија на информации и нејзината примена во надежни и ефикасни комуникациски системи. Дополнително ќе бидат запознаени со математичкиот модел на комунникацискиот систем.,"1. Дефиниција на случајни процеси. Карактеристики: математичко очекување, почетен момент од ред 1-1. Корелациона функција.
	2. Својства на корелациона функција. Видови на стационарност на случајни процеси.
	3. Ентропија на случајна променлива. Ентропија на случаен вектор. релативна ентропија. Информација. Верижни правила.
	4. Својства на ентропија и информација.
	5. Вериги на Марков: дефиниција, својства. стационарност.
	6. Рата на ентропија
	7. Компресија на податоци: дефиниција на код, несингуларен код, код со својство на префикс, Крафтово неравенство.
	8. Оптимални кодови. Хуфманов код. Код на Шенон-Фано-Елијас. Аритметички кодови.
	9. Капацитет на канал. Дефиниција. Определување на капацитет на познати канали.
	10. Диференцијална ентропија. Гаусов канал.
	11. Идеална шема за декодирање за бинарен симетричен канал.
	12. Линеарни кодови. Кодови кои откриваат и поправаат грешки.",6.0,Веројатност и статистика или Математика 3 или Бизнис и статистика,ворн. проф. д-р Александра Поповска Митровиќ ; проф. д-р Верица Бакева,No
Мултимедијални технологии,https://www.finki.ukim.mk/subject/F23L2W055,2,True,F23L2W055,"Целта на предметот е студентот да се запознае со основите на различните медии: аудио, графика, видео и анимации и да ги сфати различните својства на секоја од нив. Студентот треба да ги запознае различните формати и да се оспособи за користење за различни апликации за креирање на мултимедијални содржини. Како повисока цел, студентот треба да може да развие мал мултимедијален производ со примена на изучените техники и методи.","Предавања:
	1. Вовед во предметот
	2. Примена на мултимедијата
	3. Развој на мултимедиски проекти
	4. Текст
	5. Графика
	6. Видео
	7. Анимација
	8. Интерактивност и виртуелна реалност
	9. Звук
	10. Комбинирање на мултимедија
	11. Креирање мултимедиски проект

Вежби:
	1.
	2. Примена на мултимедијата
	3. Развој на мултимедиски проекти
	4. Работа со мултимедиски апликации
	5. 2Д графика. Гимп
	6. Работа со камера
	7. 3Д моделирање
	8. Софтвери за анимација
	9. Софтвери за анимација
	10. Работа со видео софтвер
	11. Креирање на проект",6.0,Вовед во компјутерски науки,проф. д-р Миле Јованов,No
Основи на теоријата на информации,https://www.finki.ukim.mk/subject/F23L2W067,2,True,F23L2W067,"Студентите ќе бидат запознати со основите на теорија на веројатност, а потоа и основните поими од теорија на информации и нејзината примена во реални комуникациски системи.","(1) Елементи од комбинаторика. Веројатност на случајни настани. Својства на веројатности. (1) Дискретен простор на веројатност. Класична дефиниција. Условна веројатност. Баесово правило. (1) Независност на случајни настани.  Бернулиева шема.
    (2) Дискретни и непрекинати распределби. (1) Случајни вектори: маргинални и условни распределби. Функции од случајни променливи. (1) Бројни карактеристики на случајни променливи: математичко очекување, дисперзија на случајна променлива, коефициент на корелација помеѓу две случајни променливи. Централна гранична теорема. (2) Ентропија и инфомација
    (3) Компресија на податоци: оптимални кодови со својство на префикс. Хуфманов алгоритам. Алгоритам на Шенон-Фано-Елијас.      Аритметички кодови. (1) Комуникациски канал.",6.0,Калкулус 1 или Математика 1,ворн. проф. д-р Александра Поповска Митровиќ ; проф. д-р Верица Бакева,No
Дигитизација,https://www.finki.ukim.mk/subject/F23L2W096,2,True,F23L2W096,"Целта на предметот е да се научат процесот и техниките за дигитизација. Студентите треба да ги совладаат основните принципи за менаџирање со дигитални материјали и нивна презервација, како и техники и технологии за нивно презентрање.","Предавања:
	1. Вовед во дигитизација
	2. Планирање на проект за дигитизација
	3. Авторски права
	4. Метаподатоци
	5. Дигитизација на слики преку скенирање
	6. Дигитизација на тексутални податоци. Оптичко препознавање на знаци (OCR)
	7. Дигитизација на аудио записи
	8. Дигитизација на видео записи
	9. Дигитизација на 3Д објекти
	10. Дигитални библиотеки и софтвери за архивирање
	11. Дигитална презервација
	12. Презентација на дигитизирани записи

Вежби:
	1. Основни поими за дигитизација
	2. Проектен менаџмент за потребите на дигитизација
	3. Авторско права
	4. Разработка на различните стандарди за метаподатоци
	5. Техники за дигитизација на слики. Квалитет на слики
	6. Aлгоритми и техиники за дигитизација на текст. Оптичко препознавање на карактери
	7. Техники за дигитизација на слики. Параметри за квалитет на аудио записи. Аудио формати и компресија
	8. Техники за дигитизација на видео записи. Параметри за квалитет на видео записи. Видео формати, контејнери, енкодери и компресија
	9. Техники за дигитизација на 3Д објекти. Формати и интерпретирање
	10. Дигитални библиотеки и софтвери за архивирање
	11. Техники за зачувување на дигитизираните фајлови
	12. Методи и стандарди за презентација на дигитизирани податоци",6.0,Вовед во компјутерски науки,доц. д-р Бобан Јоксимоски,No
Економија за ИКТ инженери,https://www.finki.ukim.mk/subject/F23L2W100,2,True,F23L2W100,"ИКТ инженерите, изработувајќи и нудејќи ИКТ услуги, се соочуваат со прашања во врска со SLA договорите, продавачите, добавувачите, со финансиските аспекти на ИКТ услугите – колку чини услугата, зошто токму толку, колкави се трошоците, колку е дозволено да бидат трошоците и слично. Области кои им е потребно да ги владеат се буџетирање, книговодство, определување на цени, финансиско планирање, финансиска анализа и известување. Овој курс има за задача да им овозможи да ги совладаат овие области преку опис на основните  економски модели; демонстрирање како овие модели работат; опис на главните економски феномени со користење економски модели.","Што е економија? Економскиот проблем;  Понуда и побарувачка; Еластичност; Ефикасност и праведност; Организација на производството; Аутпут и трошоци; Главни активности кои се извршуваат при финансиски менаџмент на ИКТ услуги; Вреднување на ИКТ услугите; Моделирање побарувачка на ИКТ услугите; Менаџмент на портфолио на ИКТ услуги;  Оптимизација на обезбедување ИКТ услуги; Анализа на инвестиции во ИКТ услугите; Буџетирање, сметководство и определување цени; Финансиска усогласеност",6.0,Бизнис и менаџмент,проф. д-р Смилка Јанеска Саркањац,No
Инженерска математика,https://www.finki.ukim.mk/subject/F23L2W104,2,True,F23L2W104,"Предметот опфаќа методи за нумеричкото решавање на повеќе математички проблеми, како и примена на некои
позначајни математички трансформации во инженерството.","Предавања:
	1. Нумеричка математика - Приближни броеви: претставување и операции, Видови грешки (апсолутна и релативна грешка).
	2. Нумеричка математика - Заокружување на приближни броеви: точни и значајни цифри.
	3. Нумеричка математика - Грешки при пресметување вредности на функции од една независна променлива.
	4. Нумеричка математика - Приближно решавање на нелинеарни равенки, Нумерички методи за решавање на системи линеарни равенки.
	5. Нумеричка математика - Пресметувачки шеми за полиноми и нивна практична примена.
	6. Нумеричка математика - Граници на интервал во кој се наоѓаат реалните корени на полиномните
равенки.
	7. Математички трансформации - Комплексни броеви: дефиниција, својства, модул, аргумент,
	8. Математички трансформации - Комплексни функции, Видови комплексни функции, Извод на комплексни функции, Коши- Риманови услови
	9. Математички трансформации - Лапласова трансформација (дефиниција, егзистенција, својства), Инверзна Лапласова трансформација,
	10. Математички трансформации - Методи за решавање на обични диференцијални равенки со Лапласова трансформација.
	11. Математички трансформации - Фуриеви трансформации, Фуриеви редови.
	12. Математички трансформации - Фуриев интеграл, Инверзна Фуриева трансформација.

Вежби:
	1. Практични задачи со приближни броеви.
	2. Примери за точни и значајни цифри.
	3. Примери за грешки на елементарни функции.
	4. Задачи и примери со различни нумерички методи.
	5. Практични примери со пресметувачки шеми за полиноми.
	6. Практични задачи со критериуми на Лагранж, Нутн, Декарт.
	7. Практични примери и задачи.
	8. Примери за комплексни функции.
	9. Задачи со примена на Лапласова трансформација и Инверзна Лапласова трансформација.
	10. Практични примери за решавање на обични диференцијални равенки со Лапласова трансформација.
	11. Практични задачи за определување на Фуриеви трансформации за функции.
	12. Практични задачи за определување на Инверзни Фуриеви трансформации за функции.",6.0,Калкулус 1 или Математика 1,проф. д-р Весна Димитрова,No
Интернет програмирање на клиентска страна,https://www.finki.ukim.mk/subject/F23L2W109,2,True,F23L2W109,Целта на курсот е да овозможи запознавање на студентите со основните на програмирањето на интернет клиентската страна. Во таа насока студентите ќе бидат запознаени со дел од програмските јазици и технологиите за пишување програми што се извршуваат на клиентската страна. По завршување на курсот се очекува студентот да може да развива интерактивни веб-страници со користење на програмски јазици наменети за програмирање на клиентската страна.,"Предавања:
	1. Вовед. Што е Интернет? Куса историја. Клиент-сервер архитектура. Програмирање на Интернет. Програмски јазици за клентска страна. Програмски јазици за серверска страна. Скриптни јазици.
	2. Вовед во Javascript. Историја. Стандардизација. Основни концепти. Податочни видови. DOM модел. Променливи. Оператори. Наредби.
	3. Функции во Javascript. Синтакса. Влезни параметри. Област на важење на податоците. Функции во Javascript 2.0. Стандардни функции.
	4. Низи во Javascript. Декларирање на полиња. Операции со полиња. Примери. Повеќедимензионални полиња.
	5. Објекти. Објекти во Javascript. Стандардни дефинирани објекти.
	6. DOM. Структура. Елементи. Референцирање на елементи. Настани. Додавање и бришење на елементи.
	7. JQuery. Воведни забелешки. Синтакса. Селектори. Методи. Настани. Ефекти.
	8. АЈАХ. Традиционални веб-апликации наспроти апликации со Ajax. Rich Internet Applications (RIAs) со Ajax. Историја.
Примери (со XMLHttpRequest Object, со XML и DOM, креирање на комплетна Ajax-Enabled Application)
	9. Канвас во Javascript. Екрански елементи. Настани (глувче, тастатура)
	10. JSON. Вовед. Синтакса. Податочни видови. Примери.

Вежби:
	1.
	2.
	3.
	4.
	5.
	6.
	7.
	8.
	9.
	10.",6.0,Структурно програмирање,доц. д-р Бојан Илијоски ; ворн. проф. д-р Иван Китановски ; проф. д-р Сузана Лошковска,No
Основи на комуникациски системи,https://www.finki.ukim.mk/subject/F23L2W147,2,True,F23L2W147,"Студентите ќе се запознаат со основните концепти за анализа на реалните сигнали и системи, со посебен фокус на анализата на комуникациски сигнали и нивниот пренос низ медиум, типовите на модулација и влијанието на шумот врз модулациските техники. Дополнително студентите ќе се здобијат со познавање од софтверски дефинирано радио, современите комуникациски системи и нивниот тековен развој.","Предавања:
	1. Вовед во комуникациски системи
	2. Комуникациски сигнали и медиуми
	3. Анализа и пренос на сигнали
	4. Амплитудна и аглова модулација
	5. Семплирање и пулсно-кодна модулација
	6. Принципи на дигитален податочен пренос
	7. Пречки при пренос и нивното влијание врз модулацијата
	8. Софтверски дефинирано радио
	9. Техники за проширен спектар
	10. Современи дигитални комуникациски технологии
	11. Тековен развој на комуникациски системи
	12. Студија на случај: оптички и безжични системи

Вежби:
	1. Вовед во комуникациски системи
	2. Комуникациски сигнали и медиуми
	3. Анализа и пренос на сигнали
	4. Амплитудна и аглова модулација
	5. Семплирање и пулсно-кодна модулација
	6. Принципи на дигитален податочен пренос
	7. Пречки при пренос и нивното влијание врз модулацијата
	8. Софтверски дефинирано радио
	9. Техники за проширен спектар
	10. Современи дигитални комуникациски технологии
	11. Тековен развој на комуникациски системи
	12. Студија на случај: оптички и безжични системи",6.0,Математика 1 или Калкулус 1,ворн. проф. д-р Мирослав Мирчев,No
Управување со техничка поддршка,https://www.finki.ukim.mk/subject/F23L2W165,2,True,F23L2W165,По завршувањето на курсот се очекува студентот да ги разбира методите и системите за решавање на ИТ проблемите преку обезбедување на квалитетна техничка поддршка.,"Предавања:
	1. Запознавање со предметот
	2. Вовед во ITIL Foundations
	3. Имплементација на ланец за обезбедување на вредност на сервисот
	4. 7 водечки принципи
	5. сервисни практики
	6. структура на организација, тимови и организациска култура
	7. вредносни протоци за нов сервис
	8. вредносни протоци за поддршка на сервис
	9. FitSM стандард за управување со сервиси. Елементи. Примена. Примери. Процеси. Придобивки. Сличности и разлики со ITIL.
	10. Service Level Agreements. Управување со сервисни нивоа. Типови на сервисни договори. Креирање на SLA. Мерење на SLA. Алатки.
	11. TM Forum Стандардизација. Open Digital Frameworx.
	12. одбрана на проектна задача

Вежби:
	1. запознавање со активностите на вежби
	2. канбан
	3. канбан алатки
	4. ticketing
	5. ticketing системи
	6. OTRS основни функционалности 1
	7. OTRS основни фунцкионалности 2
	8. OTRS ITSM CMDB
	9. OTRS управување со процеси 1
	10. OTRS управување со процеси 2
	11. OTRS web services
	12. OTRS services & SLA",6.0,Освоени најмалку 18 ЕКТС,проф. д-р Анастас Мишев ; проф. д-р Соња Филипоска ; ворн. проф. д-р Владимир Здравески,No
Шаблони за дизајн на кориснички интерфејси,https://www.finki.ukim.mk/subject/F23L2W167,2,True,F23L2W167,"Целта на предметот е да ги запознае студентите со основните проблеми и начини на решавање на истите за различните видови кориснички интерфејси и корисничка интеракција. По завршување на курсот се очекува студентот да демонстрира познавање на основните видови корисничка интеракција и принципите за нивно дизајнирање, и да може самостојно да развива интерактивни апликации со користење на програмски алатки следејќи ги научените принципи.","Предавања:
	1. Однесување на корисници. Вовед, кратка историја,  однесување на корисниците при работа со интерактивни системи, шаболни за опишување на однесувањето на корисниците
	2. Организација на содржина во интерактивни системи. Организациски шеми, организација на структура, шаблони за организирање и прикажување на податоци
	3. Навигација. Проблеми. Принципи за добра навигација. Навигациски модели. Шаблони за дизајнирање на навигација во интерактивни системи (навигациски модели, комбинирање на изглед и навигациски модели, поставување на ознаки, анимирани премини)
	4. Организација на екран. Основни поими (визуелна хиерархија, визуелен тек). Техники за групирање и пордедување на елементи. Гешталтови принципи. Шаблони за организирање на екраните.
	5. Форми и внесување на податоци. Принципи за дизајн на форми. Видови елементи за внесување на податоци и контроли. Шаблони за дизајнирање на форми (релации меѓу елементи, вредности на елементи, )
	6. Акции и команди. Рендерирање на акции. Репрезентација на акции. Шаблони за акции и команди (приказ на акции, подобрување на изборот на акциите, информации за долготајни акции, работа со низи од акции)
	7. Интеракција со листи на податоци. Архитектура на информациите. Интеракциски модели.
	8. Интеракција во социјални медиуми. Принципи и начин на коминукација во и со социјални медуиму. Интеракциски модели.
	9. Интеракција во мобилни уреди. Карактеристики што ја одредуваат интеракцијата во мобилните уреди. Интеракциски модели.

Вежби:
	1. Вовед во технологија за имплементација на шаблони за кориснички интерфејси. Примери поврзани со основните карактеристики.
	2. Понапредни концепти и можности на технологијата за имплементација на шаблоните за кориснички интерфејси. Примери што ги илустрираат овие концепти и можности.
	3. Имплементација на шаблоните за дизајнирање на навигација во интерактивните системи. Имплементација на примери во кои тие се употребуваат.
	4. Имплементација на шаблоните за организирање на екраните. Имплементација на примери во кои тие се употребуваат.
	5. Имплементација на примери во кои се вклучени форми, елементи за внесување податоци и контроли.
	6. Имплементација на примери што вклучуваат шаблони за акции и команди.
	7. Имплементација на интеракциските шаблони за листи на податоци и илустрација на примери во кои тие наоѓаат примена.
	8. Овозможување интеракција со социјални медиуми. Имплементација на интеракциските модели.
	9. Имплементација на карактеристични примери за интеракција во мобилните уреди со употреба на интеракциските модели.",6.0,Структурно програмирање,проф. д-р Ивица Димитровски ; ворн. проф. д-р Катарина Тројачанец Динева ; проф. д-р Сузана Лошковска,No
Деловна пракса,https://www.finki.ukim.mk/subject/F23L3S100,3,False,F23L3S100,Оспособување на студентот самостојно да идентификува проблеми и нивните решенија практично да ги реализира.,Дефинирање на проблем. Дефинирање на архитектура на решение. Имплементација на решениа. Презентација.,6.0,36 ЕКТС,,No
Интегрирани системи,https://www.finki.ukim.mk/subject/F23L3S012,3,False,F23L3S012,"По завршување на курсот се очекува студентите да се оспособени за  дизајн, избор, имплементација и менаџмент на ентерпрајз IT решенија.  Да бидат способни за работа во  корпоративна средина при имплементација и одржување со надградба на ентерпрајз IT решенија. Да бидат способни да развиваат стратегии за технолошки архитектури на комплексни софтверски системи кои опслужуваат обемни податоци, многу корисници и широк спектар деловно процеси.","Курсот опфаќа дизајн, избор, имплементација и менаџмент на ентерпрајз IT решенија. Фокусот е на апликациите и инфраструктурата и нивното поклопување со бизнисот. Студентите ќе научат за рамки и стратегии за менаџирање инфраструктура,
систем администрација, податочни архитектури, менаџирање со содржини,  дистрибуирано процесирање, интеграција на legacy системи, консолидација на системи, избор на софтвер, пресметка на вкупна цена на чинење, анализа на IT инвестиции
и нови технологии. Менаџирање ризик и безбедност како и поддршка на стандарди.  Ќе се обрне внимание и на способноста кај студентите да се пренесат стратегиите  за технолошките архитектури на општата деловна заедница.  (1) Вовед во интеграција на ИТ системи (enterprise architecture frameworks). (1) Типови на системска интеграција (софтверска, хардверска). (1) Enterprise data models, Data / information architecture and data integration. (1) Data / information architecture and data integration (методологии). (2) Вовед во складишта на податоци, ETL и манипулација со податоци. (2) Технологии за системска интеграција (XML, SOA, Web Services, COTS). (1) Виртуелизација, Облак, Software as a Service, Отворен код. (2) Enterprise Resource Planning Systems and business process models. (1) Менаџирање со ризици, тотална цена на чинење и поврат на инвестиција, ревизија и стандарди. (1) IT стратегија и метрика, Emerging technologies, System administration",6.0,Анализа и дизајн на софтверски барања или Софтверско инженерство,проф. д-р Иван Чорбев,No
